Date,RawTemperature,Temp
1850-01-01,-0.7336947,-0.37378982272666667
1850-02-01,-0.36043638,-0.0005315027266666328
1850-03-01,-0.62713146,-0.2672265827266666
1850-04-01,-0.60529697,-0.24539209272666668
1850-05-01,-0.5315168,-0.17161192272666664
1850-06-01,-0.35174996,0.008154917273333395
1850-07-01,-0.17554672,0.18435815727333338
1850-08-01,-0.22345923,0.13644564727333336
1850-09-01,-0.39381364,-0.03390876272666665
1850-10-01,-0.5161555,-0.15625062272666662
1850-11-01,-0.27654734,0.08335753727333339
1850-12-01,-0.32244864,0.03745623727333336
1851-01-01,-0.26558566,0.09431921727333337
1851-02-01,-0.4673408,-0.10743592272666663
1851-03-01,-0.6410053,-0.28110042272666663
1851-04-01,-0.52828664,-0.16838176272666666
1851-05-01,-0.22183678,0.13806809727333336
1851-06-01,-0.20733659,0.15256828727333338
1851-07-01,-0.13640964,0.22349523727333337
1851-08-01,-0.14756347,0.21234140727333337
1851-09-01,-0.1459551,0.21394977727333336
1851-10-01,-0.04530318,0.31460169727333337
1851-11-01,-0.10766979,0.2522350872733334
1851-12-01,-0.24792688,0.11197799727333338
1852-01-01,-0.34589827,0.01400660727333336
1852-02-01,-0.49635816,-0.13645328272666662
1852-03-01,-0.5669252,-0.20702032272666665
1852-04-01,-0.5746308,-0.21472592272666663
1852-05-01,-0.11256703,0.24733784727333336
1852-06-01,-0.077197365,0.28270751227333335
1852-07-01,0.008964636,0.3688695132733334
1852-08-01,-0.14900333,0.21090154727333338
1852-09-01,-0.006418369,0.3534865082733334
1852-10-01,-0.15764527,0.20225960727333336
1852-11-01,-0.27521798,0.0846868972733334
1852-12-01,0.064261936,0.4241668132733334
1853-01-01,-0.2041933,0.15571157727333337
1853-02-01,-0.3986166,-0.03871172272666662
1853-03-01,-0.2726406,0.08726427727333336
1853-04-01,-0.40107116,-0.041166282726666614
1853-05-01,-0.270081,0.08982387727333335
1853-06-01,-0.124300465,0.23560441227333337
1853-07-01,-0.07192186,0.28798301727333336
1853-08-01,-0.039818063,0.32008681427333335
1853-09-01,-0.26639792,0.09350695727333336
1853-10-01,-0.37279856,-0.012893682726666633
1853-11-01,-0.4007882,-0.040883322726666615
1853-12-01,-0.32555756,0.034347317273333344
1854-01-01,-0.40250707,-0.042602192726666654
1854-02-01,-0.39156428,-0.03165940272666662
1854-03-01,-0.24713284,0.11277203727333338
1854-04-01,-0.32695404,0.03295083727333337
1854-05-01,-0.2774185,0.08248637727333336
1854-06-01,-0.3021317,0.057773177273333365
1854-07-01,-0.16190101,0.19800386727333336
1854-08-01,-0.23259757,0.12730730727333336
1854-09-01,-0.2157878,0.14411707727333337
1854-10-01,-0.09925922,0.2606456572733334
1854-11-01,-0.41205636,-0.05215148272666664
1854-12-01,-0.45369828,-0.09379340272666664
1855-01-01,-0.17031084,0.18959403727333338
1855-02-01,-0.31291005,0.04699482727333337
1855-03-01,-0.34485918,0.01504569727333338
1855-04-01,-0.21057838,0.14932649727333336
1855-05-01,-0.36843798,-0.00853310272666663
1855-06-01,-0.3329686,0.026936277273333364
1855-07-01,-0.31461516,0.04528971727333336
1855-08-01,-0.20184189,0.15806298727333337
1855-09-01,-0.25861943,0.10128544727333338
1855-10-01,-0.19998126,0.15992361727333337
1855-11-01,-0.37381244,-0.013907562726666656
1855-12-01,-0.40770242,-0.04779754272666664
1856-01-01,-0.08278427,0.2771206072733334
1856-02-01,-0.34718993,0.012714947273333388
1856-03-01,-0.3712111,-0.011306222726666648
1856-04-01,-0.31448796,0.04541691727333336
1856-05-01,-0.292533,0.06737187727333338
1856-06-01,-0.22521582,0.13468905727333336
1856-07-01,-0.22290184,0.13700303727333338
1856-08-01,-0.24855386,0.11135101727333338
1856-09-01,-0.4017519,-0.04184702272666663
1856-10-01,-0.44604117,-0.08613629272666662
1856-11-01,-0.56131756,-0.20141268272666663
1856-12-01,-0.42309567,-0.06319079272666661
1857-01-01,-0.4942921,-0.13438722272666664
1857-02-01,-0.4418785,-0.08197362272666664
1857-03-01,-0.48833084,-0.12842596272666662
1857-04-01,-0.6748065,-0.3149016227266666
1857-05-01,-0.6539085,-0.29400362272666664
1857-06-01,-0.2911743,0.06873057727333337
1857-07-01,-0.40410438,-0.04419950272666662
1857-08-01,-0.35559383,0.004311047273333368
1857-09-01,-0.36829397,-0.008389092726666658
1857-10-01,-0.46698898,-0.10708410272666663
1857-11-01,-0.66211814,-0.30221326272666665
1857-12-01,-0.28878108,0.07112379727333334
1858-01-01,-0.33611944,0.023785437273333376
1858-02-01,-0.4876386,-0.1277337227266666
1858-03-01,-0.5660633,-0.20615842272666668
1858-04-01,-0.4297229,-0.06981802272666665
1858-05-01,-0.5225211,-0.1626162227266666
1858-06-01,-0.36000618,-0.00010130272666664109
1858-07-01,-0.34052667,0.019378207273333392
1858-08-01,-0.28751695,0.07238792727333337
1858-09-01,-0.2800979,0.07980697727333336
1858-10-01,-0.29180503,0.06809984727333335
1858-11-01,-0.40444997,-0.044545092726666624
1858-12-01,-0.4546053,-0.09470042272666662
1859-01-01,-0.4054151,-0.045510222726666605
1859-02-01,-0.3508319,0.009072977273333394
1859-03-01,-0.32237455,0.037530327273333386
1859-04-01,-0.18896715,0.17093772727333337
1859-05-01,-0.16987069,0.19003418727333338
1859-06-01,-0.24007069,0.11983418727333336
1859-07-01,-0.29049572,0.06940915727333336
1859-08-01,-0.26642036,0.09348451727333335
1859-09-01,-0.40073764,-0.04083276272666664
1859-10-01,-0.24710423,0.11280064727333336
1859-11-01,-0.31005624,0.049848637273333385
