Date,RawTemperature
1940-01-01,11.497192427243647
1940-02-01,11.872600956259646
1940-03-01,12.523972221514668
1940-04-01,13.75652941611014
1940-05-01,14.746110954155256
1940-06-01,15.314973188668432
1940-07-01,15.779272381729811
1940-08-01,15.613422591167364
1940-09-01,14.811553966943507
1940-10-01,13.633131917116202
1940-11-01,12.610855388915809
1940-12-01,12.066255250468998
1941-01-01,11.760899004601129
1941-02-01,12.186079950566125
1941-03-01,12.695790963172726
1941-04-01,13.554324927432049
1941-05-01,14.655205159984007
1941-06-01,15.489457606939709
1941-07-01,15.685728339287834
1941-08-01,15.636350646704784
1941-09-01,14.592508262147021
1941-10-01,13.93884324888245
1941-11-01,12.58534904194579
1941-12-01,11.974824498794817
1942-01-01,11.8805735316501
1942-02-01,11.932451790213804
1942-03-01,12.700256619000413
1942-04-01,13.558199045643107
1942-05-01,14.653662283490405
1942-06-01,15.303391839321534
1942-07-01,15.505092476246944
1942-08-01,15.363007524394334
1942-09-01,14.7058440231541
1942-10-01,13.724212477622245
1942-11-01,12.495361919100787
1942-12-01,11.845376912059294
1943-01-01,11.623635965617666
1943-02-01,12.045343661906145
1943-03-01,12.523539019119937
1943-04-01,13.589659460524615
1943-05-01,14.631628712869826
1943-06-01,15.220118135546386
1943-07-01,15.487401163604204
1943-08-01,15.335860805998777
1943-09-01,14.735926503917312
1943-10-01,13.796696488904615
1943-11-01,12.693765220834393
1943-12-01,12.055246198630925
1944-01-01,12.052769867714403
1944-02-01,12.230260762259547
1944-03-01,12.95065610637289
1944-04-01,13.731583049552228
1944-05-01,14.663646347307008
1944-06-01,15.466407277788164
1944-07-01,15.696587525904647
1944-08-01,15.643011544788578
1944-09-01,15.034311921596213
1944-10-01,13.986878574845434
1944-11-01,12.679244863464476
1944-12-01,11.903706359687362
1945-01-01,11.696968562972586
1945-02-01,11.809789784134523
1945-03-01,12.600315665181483
1945-04-01,13.697660479420279
1945-05-01,14.528922551315645
1945-06-01,15.450007602997744
1945-07-01,15.580672201826644
1945-08-01,15.77726558642263
1945-09-01,14.920637086323097
1945-10-01,13.887656394868827
1945-11-01,12.613099730339513
1945-12-01,11.798311446447315
1946-01-01,11.821348028861507
1946-02-01,12.002578525037052
1946-03-01,12.756477537563512
1946-04-01,13.73733950609602
1946-05-01,14.707396442781032
1946-06-01,15.344921448717116
1946-07-01,15.65077934676367
1946-08-01,15.442295193111363
1946-09-01,14.792588468634221
1946-10-01,13.669073482128113
1946-11-01,12.646043443847304
1946-12-01,11.82560556314263
1947-01-01,11.809289824166001
1947-02-01,12.00271380038356
1947-03-01,12.830617317826068
1947-04-01,13.8477640691695
1947-05-01,14.69293799653866
1947-06-01,15.46420210162563
1947-07-01,15.687050203267631
1947-08-01,15.447408493474086
1947-09-01,14.754801008974312
1947-10-01,13.866093752183076
1947-11-01,12.678912930812658
1947-12-01,11.849909019027223
1948-01-01,11.79128259523577
1948-02-01,11.890281673974414
1948-03-01,12.516825511499064
1948-04-01,13.619697381163348
1948-05-01,14.716147712504949
1948-06-01,15.381378333458429
1948-07-01,15.634957898267658
1948-08-01,15.54130448870302
1948-09-01,14.730593754339509
1948-10-01,13.862906194869765
1948-11-01,12.750105391797717
1948-12-01,11.768658895552392
1949-01-01,11.899858829725986
1949-02-01,11.981043112349084
1949-03-01,12.710254608827483
1949-04-01,13.62919323208348
1949-05-01,14.65235334545224
1949-06-01,15.299125804781625
1949-07-01,15.671554611243664
1949-08-01,15.445304160475303
1949-09-01,14.813508085743592
1949-10-01,13.778881811947826
1949-11-01,12.71565001040841
1949-12-01,11.994358164423318
1950-01-01,11.531528455686214
1950-02-01,11.79359557496025
1950-03-01,12.634850038450622
1950-04-01,13.524256703463664
1950-05-01,14.559711007910892
1950-06-01,15.3424220813111
1950-07-01,15.51660561412342
1950-08-01,15.295068029839399
1950-09-01,14.781569009323619
1950-10-01,13.799031564401957
1950-11-01,12.469044243739006
1950-12-01,12.003517360846388
1951-01-01,11.524066698048728
1951-02-01,11.6829916261687
1951-03-01,12.564320010653319
1951-04-01,13.64288404355392
1951-05-01,14.85057180105224
1951-06-01,15.482382152283378
1951-07-01,15.561874990283002
1951-08-01,15.623827959836603
1951-09-01,14.95355054662997
1951-10-01,13.964773213876299
1951-11-01,12.791137036502164
